case_id,asset,arm,status,frozen_evaluator_status,adjudicated_evaluator_status,adjudication_hash_bound,distance_correction_pending,independent_task_status,protocol_audit_valid,accepted,claimed_accepted,demonstrated_false_pass,elapsed_seconds,allocated_gpu_seconds,timed_out,repairs_declared,human_interventions,human_review_seconds,observed_model_effort_match,model_contexts_observed,input_tokens,cached_input_tokens,output_tokens,token_usage_complete,cost_usd,measurement_review_applied,structural_delivery_audit_applied,pre_structural_delivery_status,structural_delivery_audit,paired_author_audits_pass,global_protocol_verified,matched_pair_protocol_eligible
06_engine,Miniature beam steam engine,plain_astra,INCONCLUSIVE,FAIL,FAIL,True,False,INCONCLUSIVE,True,False,True,False,893.8338283188641,893.8338283188641,False,0,0,,True,4,10327410,9958656,57517,True,,True,False,INCONCLUSIVE,,False,False,False
06_engine,Miniature beam steam engine,content_agents,INVALID_PROTOCOL,FAIL,FAIL,True,False,FAIL,False,False,False,False,1134.3129711672664,1134.3129711672664,False,1,0,,True,3,12570449,12157184,55648,True,,False,False,FAIL,,False,False,False
07_robot_arm,Thor six-axis robot arm,plain_astra,INVALID_PROTOCOL,FAIL,,,True,FAIL,False,False,True,True,1548.6232794560492,1548.6232794560492,False,2,0,,True,4,19671838,19242240,95521,True,,False,False,FAIL,,False,False,False
07_robot_arm,Thor six-axis robot arm,content_agents,FAIL,PENDING,,,False,FAIL,True,False,False,False,2397.3659111708403,2397.3659111708403,False,0,0,,True,4,23438222,22933248,110561,False,,False,True,PENDING,"{'valid': True, 'reason': 'hash_bound_absence_of_all_mandatory_physics_schemas', 'receipt_sha256': '371b02203288f0e1e9e8fe7d96b81b7f25ec5d9fa67eed955db1fcff7859dd16', 'source_fidelity_status': 'NOT_EVALUATED', 'native_physics_status': 'NOT_EVALUATED'}",False,False,False
08_excavator,Mini RC excavator,plain_astra,PASS,FAIL,PASS,True,False,PASS,True,True,True,False,1194.538734536618,1194.538734536618,False,1,0,,True,3,7625959,7350016,52718,True,,False,False,PASS,,True,False,False
08_excavator,Mini RC excavator,content_agents,FAIL,PENDING,,,False,FAIL,True,False,False,False,965.0488376617432,965.0488376617432,False,1,0,,True,3,11841809,11457280,48123,True,,False,True,PENDING,"{'valid': True, 'reason': 'hash_bound_absence_of_all_mandatory_physics_schemas', 'receipt_sha256': '14b0c3fcd05eb04a82ca0a39534ed394d3df106a4c99d610a9adfe2c87aa29f7', 'source_fidelity_status': 'NOT_EVALUATED', 'native_physics_status': 'NOT_EVALUATED'}",True,False,False
09_printer,Voron0.2r1 CoreXY printer,plain_astra,INCONCLUSIVE,NO_VERDICT,,,False,INCONCLUSIVE,True,False,True,False,2335.713781107217,2335.713781107217,False,1,0,,True,4,34117594,33295104,146839,True,,False,False,INCONCLUSIVE,,True,False,False
09_printer,Voron0.2r1 CoreXY printer,content_agents,FAIL,PENDING,,,False,FAIL,True,False,False,False,1642.543988544494,1642.543988544494,False,1,0,,True,3,14777510,14427776,52829,True,,False,True,PENDING,"{'valid': True, 'reason': 'hash_bound_absence_of_all_mandatory_physics_schemas', 'receipt_sha256': 'dbb94fdf757ba38fee0d26797fdea6323cc2327a91b5fa5e94975be19b6e0ed5', 'source_fidelity_status': 'NOT_EVALUATED', 'native_physics_status': 'NOT_EVALUATED'}",True,False,False
10_complex,Dextra robotic hand,plain_astra,PASS,FAIL,PASS,True,False,PASS,True,True,False,False,2303.147261828184,2303.147261828184,False,2,0,,True,4,24993119,24503424,138831,True,,False,False,PASS,,True,False,False
10_complex,Dextra robotic hand,content_agents,FAIL,PENDING,,,False,FAIL,True,False,False,False,2056.5814871415496,2056.5814871415496,False,2,0,,True,4,21915742,21319296,82572,True,,False,True,PENDING,"{'valid': True, 'reason': 'hash_bound_absence_of_all_mandatory_physics_schemas', 'receipt_sha256': '90fd749a8ea5357b6e6ec12a38f628f2a7988afe1578e00d737fa65fcb628731', 'source_fidelity_status': 'NOT_EVALUATED', 'native_physics_status': 'NOT_EVALUATED'}",True,False,False
